activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
tanh,adagrad,0.0,xavier,18.76,0.947,0.5578
tanh,adagrad,0.0,kaiming,17.16,0.948,0.5748
tanh,adagrad,0.0,orthogonal,16.45,0.947,0.5578
tanh,adagrad,0.1,default,20.54,0.946,0.5511
tanh,adagrad,0.1,xavier,16.66,0.942,0.5234
tanh,adagrad,0.1,kaiming,16.46,0.948,0.581
tanh,adagrad,0.1,orthogonal,16.13,0.947,0.5539
tanh,adagrad,0.2,default,16.27,0.946,0.555
tanh,adagrad,0.2,xavier,16.69,0.942,0.5233
tanh,adagrad,0.2,kaiming,17.94,0.946,0.5652
tanh,adagrad,0.2,orthogonal,18.47,0.947,0.5566
tanh,adagrad,0.3,default,19.4,0.946,0.5511
tanh,adagrad,0.3,xavier,17.67,0.942,0.5234
tanh,adagrad,0.3,kaiming,16.34,0.948,0.5742
tanh,adagrad,0.3,orthogonal,17.15,0.948,0.5571
tanh,adamw,0.0,default,18.61,0.949,0.5856
tanh,adamw,0.0,xavier,17.59,0.947,0.5488
tanh,adamw,0.0,kaiming,18.28,0.95,0.5771
tanh,adamw,0.0,orthogonal,18.6,0.948,0.5662
tanh,adamw,0.1,default,20.26,0.955,0.6176
tanh,adamw,0.1,xavier,21.13,0.939,0.5588
tanh,adamw,0.1,kaiming,18.03,0.944,0.5916
tanh,adamw,0.1,orthogonal,18.37,0.943,0.5755
tanh,adamw,0.2,default,18.17,0.952,0.5833
tanh,adamw,0.2,xavier,20.1,0.948,0.6013
tanh,adamw,0.2,kaiming,20.05,0.948,0.5987
tanh,adamw,0.2,orthogonal,20.36,0.938,0.5749
tanh,adamw,0.3,default,19.05,0.954,0.6758
tanh,adamw,0.3,xavier,18.2,0.946,0.5839
tanh,adamw,0.3,kaiming,18.21,0.951,0.5836
tanh,adamw,0.3,orthogonal,18.64,0.947,0.5771
tanh,nadam,0.0,default,18.47,0.954,0.6096
tanh,nadam,0.0,xavier,18.42,0.95,0.58
tanh,nadam,0.0,kaiming,19.41,0.947,0.5585
tanh,nadam,0.0,orthogonal,17.93,0.949,0.5702
tanh,nadam,0.1,default,21.96,0.952,0.5922
tanh,nadam,0.1,xavier,19.64,0.949,0.5856
tanh,nadam,0.1,kaiming,18.99,0.953,0.6007
tanh,nadam,0.1,orthogonal,19.05,0.952,0.5994
tanh,nadam,0.2,default,19.49,0.954,0.6043
tanh,nadam,0.2,xavier,19.39,0.949,0.5813
tanh,nadam,0.2,kaiming,20.03,0.947,0.5906
tanh,nadam,0.2,orthogonal,18.74,0.953,0.6104
tanh,nadam,0.3,default,18.33,0.952,0.5951
tanh,nadam,0.3,xavier,18.35,0.949,0.5805
tanh,nadam,0.3,kaiming,18.89,0.955,0.6239
tanh,nadam,0.3,orthogonal,18.49,0.949,0.5784
tanh,sgd,0.0,default,16.6,0.931,0.4235
tanh,sgd,0.0,xavier,17.34,0.939,0.5125
tanh,sgd,0.0,kaiming,16.44,0.948,0.5738
tanh,sgd,0.0,orthogonal,16.15,0.94,0.5132
tanh,sgd,0.1,default,16.64,0.932,0.4312
tanh,sgd,0.1,xavier,16.25,0.935,0.4356
tanh,sgd,0.1,kaiming,16.29,0.946,0.5555
tanh,sgd,0.1,orthogonal,15.86,0.934,0.4265
tanh,sgd,0.2,default,16.41,0.934,0.4455
tanh,sgd,0.2,xavier,16.68,0.935,0.4357
tanh,sgd,0.2,kaiming,16.24,0.945,0.5452
tanh,sgd,0.2,orthogonal,16.06,0.934,0.4265
tanh,sgd,0.3,default,16.31,0.931,0.4237
tanh,sgd,0.3,xavier,17.04,0.934,0.427
tanh,sgd,0.3,kaiming,16.44,0.946,0.5529
tanh,sgd,0.3,orthogonal,16.04,0.933,0.4256
